user_id,item_list
4811,6708 15169 20330 25596 13663 19875 8860 3737 3037 654
1432,6893 13863 15706 21344 13987 14132 25903 15520 9663 7197
3049,22554 25675 8990 5152 2904 561 1307 2678 24724 10567
3832,22359 2641 7601 20301 19114 11730 15830 13613 1688 13797
5390,4927 18045 18168 20108 3169 21552 8251 20109 7601 23909
6506,18404 1397 44 12839 3506 25675 12257 6319 15997 11848
1321,3570 18984 8894 7908 7063 19089 20095 24535 18538 3002
2963,18692 21975 9243 20496 11796 11731 19781 11518 10514 16109
5586,23468 13226 7049 19340 6446 16793 7114 484 15196 16991
4837,14684 20308 4502 19874 6612 18399 14158 17668 3281 8395
4762,9851 12061 25675 23299 18987 3556 3037 2573 4561 9337
3648,2996 15648 3724 18872 7257 25314 1876 10554 25489 6249
6717,598 7066 19308 23893 4169 15791 14080 14890 10786 14307
6484,10391 25020 3479 3583 16882 14072 6765 21754 7979 9095
738,4767 7981 8396 13473 8084 5815 6629 6088 18515 13954
5964,25407 23154 6734 10834 1583 9555 9322 18392 15691 10908
1991,15691 9555 10594 22121 6734 1240 7991 18317 19089 23141
670,12533 11979 8870 15307 9098 203 15257 6917 14339 16360
2978,5078 16324 2570 11459 17637 359 11242 20308 9371 22485
1387,6539 9614 25063 868 11775 16968 15522 24586 403 13793
7898,8558 14488 13789 3456 5905 14315 8467 557 20747 5424
695,16670 22263 16816 3890 2896 22380 18252 20681 13228 17566
2312,16206 16414 20253 13132 20799 2791 21647 6816 6980 24121
155,23457 4620 3599 23536 17858 2333 18176 7575 2300 12056
4650,16772 25407 8990 13226 17229 6125 191 4878 12601 484
3429,12914 25407 5044 15691 14706 19089 4878 3037 22121 2426
3025,14684 24355 17668 19089 19874 18512 4502 4257 20095 21697
7065,6734 1056 2492 21920 5 9322 8316 12050 2426 17156
7253,4390 22730 7105 19498 14356 11365 23056 16577 20940 11354
2492,13118 20146 12061 7494 9438 5942 14684 20669 25693 1258
3741,8860 11943 19875 25596 21352 5952 11533 6708 3737 25407
3028,10796 11979 19294 23649 17819 9600 17948 11519 6612 16172
7549,4487 6865 13446 18803 5491 1628 18980 388 2356 11778
1207,16345 2767 11653 24768 351 24369 21030 11921 3281 14875
101,19468 22554 25407 16772 2426 25675 7728 6446 5044 12466
3492,4620 18190 5392 8285 12341 22646 15459 6088 20148 2839
1995,7444 6760 5562 7345 3059 8145 7474 23628 21527 20518
3704,24484 24093 15583 18122 5412 11153 25476 10807 5686 17284
6546,19089 8251 21552 14291 17760 8920 20095 8544 9591 7601
3209,18317 13944 13336 195 10552 11900 23189 12410 68 12992
1429,13226 23651 23468 9123 17013 7363 13593 19340 20398 20766
5140,4318 10114 7805 8359 12513 11284 17682 4686 9495 21745
1785,6708 2118 11533 5952 15259 3737 8860 4982 15169 19092
1074,1421 3037 13767 18412 19301 9118 4936 11970 11975 24132
4033,7144 25771 2781 17333 19384 10691 22647 10228 14974 18317
4383,14684 24355 17668 18512 19874 4502 4257 21697 10418 25013
4512,16555 6828 25311 12685 11651 876 21416 6861 13676 14360
380,23154 15691 9555 10594 10834 6734 1583 23141 16906 10981
7614,13176 4797 4483 10260 22396 20900 6382 12991 10111 24006
596,7835 9691 1317 15566 3790 3418 24962 6433 22757 11504
582,4620 11716 5487 8686 23258 9284 5717 23536 13541 1785
4123,25407 23154 15691 10834 1583 2426 7991 7095 16928 10594
4474,3002 21042 14145 5930 12943 12601 22731 306 19033 16150
2010,3630 5966 23253 14564 23086 17668 1573 823 8709 19823
3593,20146 8097 8894 2426 20095 13294 18984 16630 22121 7063
5993,20061 2720 2097 21030 233 2922 5140 1459 23791 25556
7279,562 7229 5871 14726 9282 21871 18528 3047 3235 9797
5248,18890 12601 18499 681 13944 6291 11001 22040 2538 3751
6166,1959 23975 9520 20239 8622 16473 21671 25458 7541 22076
5543,24328 2697 10979 2751 22584 22300 9732 24597 4779 17206
2449,20841 18367 14400 18222 15903 5203 8065 18636 4280 24601
7804,17148 21047 3931 7835 15977 3418 13176 24102 16624 18552
4700,2868 18190 6088 1863 19114 15459 9029 3983 2996 21854
7811,23258 16878 9284 1785 23536 4620 999 7885 23711 16112
5860,25407 10594 23154 10834 25675 1583 15691 5044 6734 22554
5053,4737 22438 17373 6868 9060 201 14390 1183 3392 13493
834,6984 9286 19791 22555 9534 25231 25084 11282 23075 15932
4542,8538 12948 15294 25260 12061 10786 19564 25675 3803 22356
742,13707 11384 9243 4055 11796 20496 11067 6781 17024 8552
4431,11135 14313 19991 10269 8383 25459 23799 2526 964 24760
1457,1185 24168 16502 15207 20308 8063 25924 5870 512 7598
5698,25596 5952 8860 19875 20863 4541 15169 23774 19092 654
4180,5078 19874 17643 14684 17856 20308 16324 15234 2835 2755
2821,23398 3813 20416 17156 11848 22594 15271 17717 5763 14396
1689,18222 10269 5203 2518 3261 13506 7074 17304 21075 17147
226,9378 769 792 12778 22717 13019 20424 5004 2726 17779
1492,21175 22198 10987 13624 19298 22040 6047 20766 17317 23359
2857,14201 929 3599 11119 11729 7446 5904 6044 5567 6360
7321,15059 14039 3306 2713 21415 11118 17109 640 9046 25700
7637,1611 11796 9243 9951 4927 5119 18176 9851 8811 5543
5452,18199 24078 7830 8935 24728 6441 18904 1802 11117 22668
1023,17877 9673 17451 21373 17229 9017 23895 23917 23086 6454
416,3774 5771 3844 4050 19019 24439 19764 15144 22495 16743
6716,24484 8304 24093 5412 15583 17820 25619 2369 8064 15764
