user_id,item_list
1216,24355 20308 6329 19709 19874 14684 9343 16860 1811 10396
6502,25635 8309 23391 25138 10792 13136 17209 23953 18208 2635
5022,2426 23154 25407 9555 10594 18392 8316 15691 10792 22848
7585,2062 1276 3498 20348 14625 7445 22364 20641 17219 23622
6403,9339 15830 8544 20108 1863 12273 24410 6521 9243 19910
5891,19340 8395 24932 15645 2322 5908 22949 6981 5800 15795
2061,24355 16562 24481 14684 15778 4257 17668 19874 13073 3431
7484,25407 5952 25596 2426 12050 8860 2492 23154 8097 18452
2693,25407 8990 16772 15691 23141 10834 4878 8097 15196 1240
4772,3884 10408 22898 41 10780 8669 8654 8655 8656 8673
2486,23842 1763 17168 8654 8659 8655 8656 8657 8658 8653
1027,16394 22010 25407 22731 4257 11713 12165 19815 3004 19948
787,19480 12409 19709 16630 20146 7494 20095 17723 2665 14895
7021,14684 24355 4257 17668 19874 4502 21697 18512 24197 10418
2668,12061 13541 20496 9851 2333 4620 23711 8544 23536 5717
2736,14684 4257 19874 4502 5581 12214 24355 15363 10418 7883
2609,9386 9050 9412 14220 13009 11987 25903 22359 23762 21450
1163,21552 24410 20148 364 9243 6599 20496 21583 5717 7639
2499,20934 14291 8541 8704 612 233 14875 2811 6955 25224
727,25407 23154 10594 10834 6734 9555 15691 1583 6878 10908
3852,2001 484 970 24862 17647 23423 19194 2485 19340 23468
3241,5119 561 12061 14433 9851 8544 773 8222 6719 14462
5111,10418 5581 14684 23434 9650 22181 20108 11658 6612 7883
4381,19089 13336 11295 8894 6994 23189 7237 24209 10035 5784
1029,14488 13231 16941 13789 21321 8709 8558 22857 14315 10540
7461,25675 5380 22554 25230 23319 10324 19935 20582 13661 21362
1146,3378 523 17880 7311 15011 18055 23538 8302 13529 22092
327,12211 9699 19292 17715 6151 7551 12038 9645 8092 9795
5984,868 12830 9452 4341 17523 6539 8657 8656 8654 8655
4959,25209 13319 3527 18547 762 20038 13810 11623 23563 17374
4054,21774 25833 24488 11663 21153 14016 6108 9497 8766 16966
1338,1863 9591 14385 13628 13818 18902 5965 19822 20530 4940
3050,9620 7115 17156 9759 19319 2675 24002 2083 24327 12960
3135,9243 23127 11792 21537 11796 8544 10786 5717 25693 19450
2259,2125 201 6895 4423 12802 12195 5475 17919 17561 23255
4253,22509 18905 4755 269 6757 2652 19639 4358 3734 12577
5440,24482 13641 308 11512 18641 9476 2620 517 12778 15507
7667,14460 15073 16149 17227 3208 6436 5061 19129 10538 3857
3927,25408 3867 8375 6198 10144 25069 25845 24470 19685 8810
3711,25786 9071 3361 11564 1439 634 18435 5445 13728 18339
4409,25286 15843 20193 9361 21437 24128 14428 14697 23518 21648
3389,497 5032 12048 4936 9769 9662 10544 6689 22903 14481
3671,4351 20739 4201 16903 8032 16279 560 12339 15003 15288
6061,25407 22121 16577 15691 8990 16772 15196 8097 6446 20969
774,20173 17723 20982 2665 9402 19294 19089 4741 7176 14117
792,18547 25209 24254 3452 441 13475 15832 18828 11107 346
2197,8158 5562 14978 7444 21527 275 18300 3934 7474 14609
2699,21062 9591 6639 16268 17133 6196 15103 4389 22048 7125
4801,1863 4940 24484 21552 15764 13628 24093 8304 12289 14605
7928,17797 17482 20876 18969 12951 22571 5865 21266 5833 17004
5024,19089 9637 6901 9438 24050 9537 15049 5644 2448 660
968,8955 6446 16216 11622 9400 25554 23235 8331 17476 5367
3378,4927 3668 8544 15830 2468 12710 19480 23127 20496 773
7613,15749 7006 6110 2428 23851 8030 8023 12591 20651 23545
3701,20849 3768 18050 2902 22177 24810 19700 10269 2084 18460
7731,12759 23086 5952 3408 20330 12933 22798 13586 18452 17877
4717,23255 16897 21168 859 2125 22438 14235 19164 12802 7011
5745,20344 19260 1081 454 20230 1209 1688 4561 5789 561
2541,8920 6088 21552 21998 9591 9386 22359 6268 6823 2109
4075,25675 12061 23127 9007 9851 24075 8544 20496 25693 5717
87,2001 22121 5044 19852 13593 16577 6446 15903 3812 17877
3035,3631 8388 11861 6868 8603 17373 7979 21754 16882 14072
373,7710 17877 11748 4056 6692 6146 25585 20410 5384 25344
2144,25407 2426 10834 10594 15691 6734 8316 18452 9701 17156
1689,23524 9100 10046 14925 14166 20031 12755 10363 7964 25260
3977,12742 22300 2910 20502 22665 7229 20401 6674 9282 562
3439,11420 22849 17725 23769 13346 5587 14950 8740 18684 4191
3055,22750 25046 22128 18293 942 15790 21342 22554 6632 21773
2054,17877 22121 25675 16394 21373 13294 7583 13928 12214 11633
6850,25675 10269 9438 22554 2426 15691 9555 23154 3803 9851
5193,1720 17983 9302 5886 659 485 14027 8610 2872 15154
891,20949 8860 3258 24039 23381 9708 2085 24416 20132 20851
3390,1863 21552 24075 10269 12061 24928 9851 9438 21998 23799
7015,13424 12158 10540 15903 13231 5721 24125 5905 17849 292
1185,19049 962 21085 4912 946 13101 22465 10599 22325 17471
3796,11089 9438 685 13118 12136 6950 20582 1984 3599 4811
2784,4956 9284 7885 4620 20261 15335 20226 21517 6185 10583
3583,19875 7583 19089 8097 5952 6878 19948 4366 12933 9457
4673,23299 12061 23711 2333 20582 23536 24075 9851 9218 23457
85,5952 3580 4366 11533 13503 3737 20863 8860 25596 2384
1904,17820 8304 15764 6897 8064 24093 5119 12061 4803 5412
4029,19381 3336 18085 10160 12249 10788 643 24192 15680 25820
3133,12341 18190 25693 867 18114 5717 23127 14433 25491 19781
904,12061 773 12948 9851 2724 6610 23417 9007 7992 24850
5613,14951 19332 22558 153 8894 18684 6994 24209 2533 16005
1115,25407 5044 7728 2426 25675 19468 6446 8097 1307 12719
5439,23536 13541 2333 4620 23711 11792 10450 18528 12341 19114
5490,22324 23618 15124 8990 2375 24543 160 16929 16283 8176
5462,23127 2300 18528 5717 21854 12061 2333 20750 867 10450
3560,22554 9851 24075 561 7202 15564 19564 9438 12061 18293
3821,2333 18190 12061 23536 18872 13541 11792 19781 5746 2868
5073,20241 25144 5579 7894 20342 24541 23275 22055 18625 5892
4566,25407 10792 2426 22010 17209 6878 18392 5952 15691 10345
4995,14684 4502 5581 4257 24355 17668 10418 1714 20308 14137
7175,201 5475 23255 23981 3631 11151 3115 16497 436 3696
3368,12742 22300 11716 21988 25353 5080 16112 11384 562 17206
6091,15271 5152 7728 25675 21099 12839 17717 4553 4944 19526
7405,12421 8006 25017 1657 9642 18906 3370 10702 1575 8639
4122,10269 9438 25675 22554 9851 10786 12061 5942 13118 15564
6841,5717 11067 19781 8544 867 20496 5746 23711 21975 18190
7141,25407 6446 10162 15691 15196 23468 8990 20688 8097 9992
499,19869 25566 1857 20322 23777 15263 10483 10476 5280 4589
4718,17823 8805 21248 19007 3527 5283 21677 20857 25209 7442
76,25407 17877 10834 15691 2426 9555 22010 6734 10594 22848
7858,1573 21373 25924 17070 24577 5032 4971 21105 24811 8132
854,6521 11384 17767 16220 10149 24015 2447 21975 20148 16179
3815,25407 1240 19480 15691 9090 17819 4878 17877 8990 1583
3366,22731 12601 11197 306 12943 22121 4871 25738 18924 23996
2657,12061 10786 24075 23711 25675 25071 9029 20496 773 18293
3940,8988 3659 16503 15561 24796 2807 3148 16692 3728 10236
6484,16882 3583 6765 14072 10391 3479 8603 11861 6868 14362
7656,25974 8660 8650 8651 8652 8653 8654 8655 8656 8657
7224,18190 4620 2333 12341 2868 6088 23711 19114 9029 15459
4192,19332 2712 7494 17257 1133 8894 9438 18684 25255 3116
5013,1863 9591 6088 2996 2333 5717 2868 13541 921 23536
1390,22884 8987 17745 14253 11089 968 25392 12515 5947 24444
7908,17407 1898 15213 15522 2757 6264 16968 5626 19788 14172
981,18190 2868 6088 11792 9284 21854 13541 3983 18528 10450
3609,9583 23825 23253 6097 5869 16926 24292 18419 5581 25763
4324,22554 9438 10269 561 15034 24850 19401 5380 17858 8811
