user_id,item_list
6880,20518 12314 15805 12612 1577 5737 16770 25631 12319 20982
378,13552 14188 8808 303 913 16734 7883 11664 4781 13108
7486,21975 11792 10514 4055 19114 15314 9525 6547 8524 4796
6032,20361 8419 14425 20593 19286 6703 13855 263 20169 25338
3921,3759 2125 43 201 4423 16317 18667 12489 24590 17561
1355,25974 8660 8650 8651 8652 8653 8654 8655 8656 8657
2704,12061 561 25675 24075 10786 18804 9851 22128 11792 20496
1890,1863 9591 15764 2996 6781 21552 24075 20950 24484 8304
7605,20146 10269 17819 12319 15903 15691 8894 22121 19480 5463
3781,3630 4257 24070 2269 17070 6878 15749 8316 21373 16394
3264,2333 2868 13541 23536 23711 2090 1863 8920 18190 21854
6312,11533 25407 3447 1056 2492 1840 15169 12050 3737 22801
2782,25974 8649 8651 8652 8653 8654 8655 8656 8657 8658
2421,20496 8544 7639 12543 10046 17933 1447 477 4811 5119
4564,19973 10994 12142 25879 4844 18497 15036 8318 8317 12867
3431,20146 7494 23600 16630 19480 19709 23481 20095 22121 12409
4688,25610 17290 22549 5570 20701 3674 7780 11668 13307 19475
5548,19114 4966 6088 13541 10428 3983 2333 22646 749 14220
3789,16350 7318 19695 4074 11294 556 12555 1266 14755 1195
349,23600 13403 6415 8509 18042 6790 16446 13418 24165 1207
3702,6088 9591 13541 18190 2333 5717 10786 15459 8544 21552
1001,25675 21552 25046 24075 561 12061 6632 22554 15915 19620
7652,6452 20655 15822 7986 18530 19818 12035 16600 12708 7769
1747,5915 8478 377 20212 5802 14528 175 18547 25494 9976
5582,24075 25675 10269 10786 5942 22554 25693 1888 23799 14220
218,15196 5150 19010 17517 19973 9511 17546 12142 25407 24075
7928,16734 18828 25920 965 25345 16771 8854 8805 20239 7604
791,25356 24093 2608 3728 5991 16954 25277 13159 8304 15764
107,12583 24208 25597 24691 9578 24784 24355 24075 11745 743
4043,10834 25407 17156 1583 10594 5044 22010 6878 10908 16928
7325,2333 23127 16189 3804 5717 9007 1611 19079 20750 309
3343,25220 21464 8920 11792 12061 4439 16117 4336 5672 12862
242,18404 6904 14551 16443 18859 21747 25407 13510 3656 13887
3834,14253 1659 4150 13686 19089 21780 24444 17846 6772 25906
