user_id,item_list
5359,8491 25121 14394 17860 13711 13386 12996 4396 18208 4953
1865,25974 8660 8650 8651 8652 8653 8654 8655 8656 8657
38,1863 23711 13628 180 4940 13818 12061 10786 14385 21799
343,14033 9853 15624 24125 20145 25425 12849 5771 16781 5721
220,24075 22554 9438 10786 12061 3803 25260 19401 8538 23711
5788,13170 25458 24945 16742 17889 7966 644 22398 346 10101
5303,5078 22485 20345 14684 4257 24070 17668 3037 17637 15651
1336,12061 1863 22554 9851 20363 25675 24075 10786 25046 8544
6557,2373 22081 9550 2222 7336 20057 18952 3202 484 8656
2924,1573 23008 19815 11713 16916 19020 1831 12165 16854 8171
6287,2996 3518 6876 6781 8920 9591 10328 7605 2707 24007
4582,2426 23154 6734 22848 6878 17209 17156 8097 24075 21920
6588,14418 22359 9386 1378 12293 6088 16552 3797 4320 9582
4575,7494 20095 13928 9438 25407 15691 25873 2533 2236 6076
4735,24645 4368 5114 8173 24871 24188 1980 11460 21994 18994
277,12341 25928 18114 5717 2333 15327 13541 22152 18190 10450
3391,2868 23536 5717 15459 5746 22646 1863 14373 18190 22003
2374,18347 18636 7130 3542 11617 24892 25745 8862 6947 13600
6125,21854 9284 2333 18528 5717 3983 2432 23127 23711 13541
1571,4502 24355 14684 5581 4209 13552 22511 18419 8544 14137
3385,18793 4151 8420 22643 3471 12265 21519 23344 23793 17181
2207,20651 4855 17026 7006 10073 10748 23246 3822 11530 2876
56,20401 22300 7122 6506 3348 12742 11741 2910 14200 10043
718,11792 18163 867 19781 23127 11796 2868 9243 8544 21552
3640,23788 3326 9650 19369 8237 24134 1531 20180 4102 19508
4280,19405 23071 12061 23177 13836 16823 6065 16828 9007 3058
6201,7770 7270 4107 14063 1502 21326 11989 16361 19085 16381
2968,13996 3263 2663 555 13286 24686 17131 22816 4247 2150
7505,16345 20919 19776 6145 1750 9747 16871 3281 7030 6425
6936,19346 14687 25937 24145 2313 5538 14847 14637 5123 25958
2567,15764 8304 2930 20950 19393 17820 24484 8811 9591 1863
7773,14551 44 19166 18499 11848 12257 1569 16763 14341 15215
7916,329 16549 24326 16323 5200 21385 14565 25191 5998 8652
3440,10269 9438 25675 22554 10786 12061 14684 9851 13118 5942
2304,24532 10460 597 1619 2492 12050 21170 16356 21196 7748
6770,11999 23658 4447 20919 25974 8658 8651 8652 8653 8654
3489,25407 23154 9555 2426 11991 6734 15691 624 21123 25138
7211,23158 8649 20969 17877 19992 22626 21143 20909 24288 8370
6634,986 7265 23122 21119 15146 8705 3365 14965 6612 8652
5189,11716 2751 7505 5407 21379 9943 3028 23012 20574 226
89,11785 7183 3452 7874 9407 25373 5474 11297 9086 9782
4196,25596 1085 13503 20330 19875 5952 2426 13663 6708 20974
3505,4927 11067 11796 11452 20496 21975 10530 4796 3835 973
6003,25974 8660 8651 8652 8653 8654 8655 8656 8657 8658
2084,25407 10594 9555 23154 15691 1583 9701 6734 22848 18392
